J'ai froid,I am cold
Tu es fatigué,You are tired
Il a faim,He is hungry
Elle est heureuse,She is happy
Nous sommes amis,We are friends
Ils sont étudiants,They are students
Le chat dort,The cat is sleeping
Le soleil brille,The sun is shining
Nous aimons la musique,We love music
Elle parle français couramment,She speaks French fluently
Il aime lire des livres,He enjoys reading books
Ils jouent au football chaque week-end,They play soccer every weekend
Le film commence à 19 heures,The movie starts at 7 PM
Elle porte une robe rouge,She wears a red dress
Nous cuisinons le dîner ensemble,We cook dinner together
Il conduit une voiture bleue,He drives a blue car
Ils visitent souvent des musées,They visit museums often
Le restaurant sert une délicieuse cuisine,The restaurant serves delicious food
Elle étudie les mathématiques à l'université,She studies mathematics at university
Nous regardons des films le vendredi,We watch movies on Fridays
Il écoute de la musique en faisant du jogging,He listens to music while jogging
Ils voyagent autour du monde,They travel around the world
Le livre est sur la table,The book is on the table
Elle danse avec grâce,She dances gracefully
Nous célébrons les anniversaires avec un gâteau,We celebrate birthdays with cake
Il travaille dur tous les jours,He works hard every day
Ils parlent différentes langues,They speak different languages
Les fleurs fleurissent au printemps,The flowers bloom in spring
Elle écrit de la poésie pendant son temps libre,She writes poetry in her free time
Nous apprenons quelque chose de nouveau chaque jour,We learn something new every day
Le chien aboie bruyamment,The dog barks loudly
Il chante magnifiquement,He sings beautifully
Ils nagent dans la piscine,They swim in the pool
Les oiseaux gazouillent le matin,The birds chirp in the morning
Elle enseigne l'anglais à l'école,She teaches English at school
Nous prenons le petit déjeuner ensemble,We eat breakfast together
Il peint des paysages,He paints landscapes
Ils rient de la blague,They laugh at the joke
L'horloge tic-tac bruyamment,The clock ticks loudly
Elle court dans le parc,She runs in the park
Nous voyageons en train,We travel by train
Il écrit une lettre,He writes a letter
Ils lisent des livres à la bibliothèque,They read books at the library
Le bébé pleure,The baby cries
Elle étudie dur pour les examens,She studies hard for exams
Nous plantons des fleurs dans le jardin,We plant flowers in the garden
Il répare la voiture,He fixes the car
Ils boivent du café le matin,They drink coffee in the morning
Le soleil se couche le soir,The sun sets in the evening
Elle danse à la fête,She dances at the party
Nous jouons de la musique au concert,We play music at the concert
Il cuisine le dîner pour sa famille,He cooks dinner for his family
Ils étudient la grammaire française,They study French grammar
La pluie tombe doucement,The rain falls gently
Elle chante une chanson,She sings a song
Nous regardons un film ensemble,We watch a movie together
Il dort profondément,He sleeps deeply
Ils voyagent à Paris,They travel to Paris
Les enfants jouent dans le parc,The children play in the park
Elle se promène le long de la plage,She walks along the beach
Nous parlons au téléphone,We talk on the phone
Il attend le bus,He waits for the bus
Ils visitent la tour Eiffel,They visit the Eiffel Tower
Les étoiles scintillent la nuit,The stars twinkle at night
Elle rêve de voler,She dreams of flying
Nous travaillons au bureau,We work in the office
Il étudie l'histoire,He studies history
Ils écoutent la radio,They listen to the radio
Le vent souffle doucement,The wind blows gently
Elle nage dans l'océan,She swims in the ocean
Nous dansons au mariage,We dance at the wedding
Il gravit la montagne,He climbs the mountain
Ils font de la randonnée dans la forêt,They hike in the forest
Le chat miaule bruyamment,The cat meows loudly
Elle peint un tableau,She paints a picture
Nous construisons un château de sable,We build a sandcastle
Il chante dans le chœur,He sings in the choir
Ils font du vélo,They ride bicycles
Le café est chaud,The coffee is hot
Elle porte des lunettes,She wears glasses
Nous rendons visite à nos grands-parents,We visit our grandparents
Il joue de la guitare,He plays the guitar
Ils font du shopping,They go shopping
Le professeur explique la leçon,The teacher explains the lesson
Elle prend le train pour aller au travail,She takes the train to work
Nous faisons des biscuits,We bake cookies
Il se lave les mains,He washes his hands
Ils apprécient le coucher du soleil,They enjoy the sunset
La rivière coule calmement,The river flows calmly
Elle nourrit le chat,She feeds the cat
Nous visitons le musée,We visit the museum
Il répare son vélo,He fixes his bicycle
Ils peignent les murs,They paint the walls
Le bébé dort paisiblement,The baby sleeps peacefully
Elle attache ses lacets,She ties her shoelaces
Nous montons les escaliers,We climb the stairs
Il se rase le matin,He shaves in the morning
Ils mettent la table,They set the table
L'avion décolle,The airplane takes off
Elle arrose les plantes,She waters the plants
Nous pratiquons le yoga,We practice yoga
Il éteint la lumière,He turns off the light
Ils jouent aux jeux vidéo,They play video games
La soupe sent délicieusement bon,The soup smells delicious
Elle ferme la porte à clé,She locks the door
Nous profitons d'un pique-nique,We enjoy a picnic
Il vérifie ses emails,He checks his email
Ils vont à la salle de sport,They go to the gym
La lune brille intensément,The moon shines brightly
Elle attrape le bus,She catches the bus
Nous saluons nos voisins,We greet our neighbors
Il se peigne les cheveux,He combs his hair
Ils font un signe d'adieu,They wave goodbye